,accuracy,kappa,f1,roc_auc
0,0.252,0.1678905486376571,0.1999927484606029,0.5840242875929043
1,0.271,0.1876495995079095,0.2214309924376895,0.5940258853776879
2,0.249,0.16752574462660597,0.19422758695584147,0.5840995416185296
3,0.252,0.1657921238731781,0.19684936138495632,0.5828665954573091
4,0.241,0.1578718456253716,0.18357085208397766,0.578763156595944
5,0.239,0.15569495402919897,0.18924844567630295,0.5778964399338868
6,0.236,0.1469186904085299,0.18400434878091232,0.5734079134815879
7,0.271,0.18533923524698537,0.2203259327158699,0.5927514510074032
8,0.253,0.1697942934749388,0.19697251923076492,0.5851319243345195
9,0.252,0.16981039934561515,0.20456370505722835,0.5850010232590128
10,0.256,0.17250860023823755,0.2087337402824854,0.5862989448631615
